iter	Passed	Remaining
0	5	10635
1	10	10949
2	15	10268
3	19	9512
4	21	8642
5	26	8723
6	30	8542
7	33	8329
8	38	8460
9	41	8305
10	45	8238
11	49	8271
12	54	8284
13	57	8219
14	61	8130
15	64	8055
16	68	7952
17	71	7854
18	73	7620
19	76	7525
20	78	7432
21	81	7365
22	84	7304
23	87	7234
24	90	7170
25	93	7111
26	96	7063
27	99	7028
28	102	6989
29	105	6953
30	108	6915
31	111	6877
32	114	6843
33	117	6807
34	119	6721
35	121	6639
36	124	6615
37	127	6589
38	130	6561
39	133	6532
40	136	6507
41	139	6480
42	142	6465
43	144	6442
44	147	6422
45	150	6397
46	153	6369
47	156	6352
48	158	6326
49	161	6297
50	164	6272
51	166	6246
52	169	6226
53	172	6205
54	174	6186
55	177	6170
56	180	6148
57	183	6129
58	185	6116
59	188	6097
60	191	6081
61	194	6067
62	197	6057
63	200	6060
64	203	6067
65	206	6059
66	209	6047
67	212	6037
68	215	6027
69	218	6021
70	221	6012
71	224	6000
72	226	5986
73	229	5974
74	232	5970
75	235	5959
76	238	5949
77	241	5941
78	244	5935
79	246	5924
80	249	5912
81	252	5898
82	255	5891
83	257	5879
84	260	5874
85	263	5866
86	266	5858
87	269	5850
88	272	5845
89	275	5844
90	278	5833
91	280	5824
92	283	5820
93	286	5818
94	289	5811
95	292	5808
96	295	5801
97	298	5796
98	301	5790
99	304	5789
100	306	5767
101	309	5767
102	312	5762
103	316	5760
104	319	5764
105	322	5760
106	325	5757
107	328	5750
108	331	5743
109	334	5741
110	337	5740
111	340	5735
112	343	5731
113	346	5732
114	350	5742
115	353	5736
116	356	5732
117	359	5726
118	362	5724
119	364	5706
120	367	5700
121	369	5694
122	372	5687
123	375	5680
124	378	5677
125	381	5669
126	383	5661
127	386	5653
128	389	5645
129	392	5645
130	395	5639
131	397	5632
132	400	5626
133	403	5618
134	406	5615
135	409	5611
136	412	5606
137	415	5599
138	417	5591
139	420	5587
140	423	5581
141	426	5576
142	429	5572
143	432	5568
144	435	5569
145	438	5567
146	441	5569
147	444	5568
148	447	5562
149	450	5555
150	453	5549
151	455	5543
152	458	5538
153	461	5530
154	464	5526
155	467	5523
156	470	5520
157	473	5517
158	476	5512
159	479	5509
160	481	5503
161	484	5498
162	487	5492
163	490	5488
164	493	5487
165	496	5483
166	499	5479
167	502	5474
168	504	5468
169	508	5468
170	510	5464
171	513	5461
172	516	5454
173	519	5449
174	522	5446
175	525	5445
176	528	5440
177	531	5435
178	533	5430
179	536	5427
180	539	5422
181	542	5419
182	545	5414
183	548	5411
184	551	5411
185	554	5410
186	557	5409
187	560	5406
188	563	5402
189	566	5400
190	569	5396
191	572	5393
192	575	5389
193	578	5384
194	581	5380
195	584	5377
196	587	5373
197	590	5370
198	592	5365
199	595	5360
200	598	5357
201	601	5357
202	604	5353
203	607	5350
204	610	5349
205	613	5345
206	616	5343
207	619	5340
208	622	5336
209	626	5338
210	629	5334
211	631	5328
212	634	5323
213	637	5317
214	640	5313
215	642	5307
216	645	5302
217	647	5296
218	650	5291
219	653	5285
220	656	5282
221	658	5277
222	661	5271
223	664	5266
224	666	5260
225	669	5256
226	672	5252
227	675	5247
228	677	5242
229	680	5237
230	683	5232
231	686	5228
232	688	5223
233	691	5217
234	693	5212
235	696	5207
236	699	5201
237	702	5197
238	704	5192
239	707	5187
240	710	5182
241	712	5178
242	716	5177
243	718	5173
244	721	5171
245	724	5168
246	727	5165
247	730	5163
248	733	5159
249	736	5154
250	739	5149
251	741	5144
252	744	5141
253	747	5136
254	749	5132
255	752	5127
256	755	5122
257	758	5120
258	761	5116
259	763	5110
260	766	5105
261	769	5101
262	771	5097
263	774	5093
264	777	5088
265	779	5083
266	782	5079
267	785	5074
268	787	5070
269	790	5066
270	793	5061
271	795	5056
272	798	5051
273	802	5052
274	804	5048
275	807	5043
276	810	5040
277	813	5036
278	815	5032
279	818	5028
280	821	5024
281	824	5019
282	826	5015
283	829	5010
284	831	5006
285	834	5001
286	837	4997
287	839	4992
288	842	4987
289	845	4984
290	848	4980
291	850	4976
292	853	4971
293	855	4966
294	858	4963
295	861	4959
296	864	4955
297	866	4950
298	869	4946
299	872	4941
300	875	4941
301	878	4939
302	881	4936
303	884	4932
304	886	4928
305	889	4925
306	892	4921
307	895	4917
308	897	4913
309	900	4909
310	903	4906
311	906	4902
312	908	4898
313	911	4894
314	914	4890
315	917	4887
316	919	4883
317	922	4880
318	926	4879
319	928	4876
320	932	4875
321	935	4873
322	937	4869
323	940	4866
324	943	4863
325	946	4860
326	949	4859
327	952	4857
328	955	4853
329	958	4849
330	960	4845
331	963	4841
332	966	4838
333	969	4835
334	972	4831
335	974	4827
336	977	4823
337	980	4820
338	983	4816
339	985	4813
340	988	4810
341	991	4806
342	994	4802
343	996	4798
344	999	4795
345	1002	4792
346	1005	4789
347	1008	4785
348	1010	4781
349	1013	4778
350	1016	4776
351	1019	4772
352	1021	4767
353	1024	4763
354	1027	4759
355	1029	4756
356	1032	4752
357	1035	4748
